term,def,file_name,extraction_rule,plain_text_def,plain_text_term,mentioned_proofwiki_terms
$k$-colouring property of $\Graphseq$;extremal entropy;relative to $\Graphseq$,"[Extremal entropy relative to a graph sequence]\label{definition: extremal entropy/relative to G}
	Let $\Graphseq=(G_n)_{n \in \N}$ be a sequence of graphs on linearly ordered vertex sets. A \emph{$k$-colouring property of $\Graphseq$} is a sequence $\mathcal{P}=(\mathcal{P}_n)_{n\in \N}$, where $\mathcal{P}_n$ is a collection of $k$-colourings of $G_n$. The \emph{extremal entropy} of $\mathcal{P}$ \emph{relative to $\Graphseq$} is
	\[\ex(\Graphseq, \mathcal{P})=\ex(G_n, \mathcal{P}_n):=\max\left\{\Ent(t) \,: \, t\in [k]^{E(G_n)}, \ \langle t \rangle\subseteq \mathcal{P}_n\right\}.\]",1607.08152#masterdraftJuly14Andrew.tex,definition + \emph{},"[Extremal entropy relative to a graph sequence]
	Let =(G_n)_n ∈ be a sequence of graphs on linearly ordered vertex sets. A k-colouring property of  is a sequence 𝒫=(𝒫_n)_n∈, where 𝒫_n is a collection of k-colourings of G_n. The extremal entropy of 𝒫 relative to  is
	
    (, 𝒫)=(G_n, 𝒫_n):=max{(t)  :   t∈ [k]^E(G_n),  ⟨ t ⟩⊆𝒫_n}.
",k-colouring property of ;extremal entropy;relative to ,"['Proper', 'Entropy']"
$k$-connected,"\label{def:connected}
	A matroid $M$ is \emph{$k$-connected} if $M$ has no $k'$-separations with $k' < k$.",1107.3914#tanglesV5.tex,definition + \emph{},"
	A matroid M is k-connected if M has no k'-separations with k' < k.",k-connected,['Connected']
$k$-connected,Let $k\in \N$.  A quantum graph $\mathcal{S} \subseteq M_n$ is called \emph{$k$-connected} if every separator for $\mathcal{S}$ has rank at least $k$.,1911.00446#Quantum_Connectivity.tex,definition + \emph{},Let k∈.  A quantum graph 𝒮⊆ M_n is called k-connected if every separator for 𝒮 has rank at least k.,k-connected,['Connected']
$k$-linear forms condition,"[Linear forms condition]
  \label{def:Z-lfc}
  A nonnegative function $\nu = \nu^{(N)} : \mathbb{Z}_N
  \rightarrow \mathbb{R}_{\geq 0}$ is said to obey the
  \emph{$k$-linear forms condition} if one has
  \begin{equation}
    \label{eq:Z-lfc}
    \EE \Bigl[
    \prod_{j=1}^k \prod_{\omega \in \{0,1\}^{[k]\setminus\{j\}}} \nu
    \Bigl( \sum_{i=1}^k (i-j) x_i^{(\omega_i)} \Bigr)^{n_{j,\omega}}
    \Big\vert
    x_1^{(0)}, x_1^{(1)}, \dots, x_k^{(0)},x_k^{(1)} \in \ZZ_N
    \Bigr]  = 1 + o(1)
  \end{equation}
  for any choices of exponents $n_{j,\omega} \in \{0,1\}$.",1305.5440#1305.5440.tex,definition + \emph{},"[Linear forms condition]
  
  A nonnegative function ν = ν^(N) : ℤ_N
  →ℝ_≥ 0 is said to obey the
  k-linear forms condition if one has
  
    [
        ∏_j=1^k ∏_ω∈{0,1}^[k]∖{j}ν( ∑_i=1^k (i-j) x_i^(ω_i))^n_j,ω|
        x_1^(0), x_1^(1), …, x_k^(0),x_k^(1)∈_N
        ]  = 1 + o(1)

  for any choices of exponents n_j,ω∈{0,1}.",k-linear forms condition,['Linear Form']
$k$-linear forms condition,"[Linear forms condition]
  \label{def:Z-lfc}
  A nonnegative function $\nu = \nu^{(N)} : \mathbb{Z}_N
  \rightarrow \mathbb{R}_{\geq 0}$ is said to obey the
  \emph{$k$-linear forms condition} if one has
  \begin{equation}
    \label{eq:Z-lfc}
    \EE \Bigl[
    \prod_{j=1}^k \prod_{\omega \in \{0,1\}^{[k]\setminus\{j\}}} \nu
    \Bigl( \sum_{i=1}^k (i-j) x_i^{(\omega_i)} \Bigr)^{n_{j,\omega}}
    \Big\vert
    x_1^{(0)}, x_1^{(1)}, \dots, x_k^{(0)},x_k^{(1)} \in \ZZ_N
    \Bigr]  = 1 + o(1)
  \end{equation}
  for any choice of exponents $n_{j,\omega} \in \{0,1\}$.",1307.4959#1307.4959.tex,definition + \emph{},"[Linear forms condition]
  
  A nonnegative function ν = ν^(N) : ℤ_N
  →ℝ_≥ 0 is said to obey the
  k-linear forms condition if one has
  
    [
        ∏_j=1^k ∏_ω∈{0,1}^[k]∖{j}ν( ∑_i=1^k (i-j) x_i^(ω_i))^n_j,ω|
        x_1^(0), x_1^(1), …, x_k^(0),x_k^(1)∈_N
        ]  = 1 + o(1)

  for any choice of exponents n_j,ω∈{0,1}.",k-linear forms condition,['Linear Form']
$k$-linear forms condition,"[Linear forms condition]
  \label{def:Z-lfc}
  A function $\nu : \ZZ_N \to [0,\infty)$ satisfies the
  \emph{$k$-linear forms condition}\footnote{As in the footnote to
    Definition~\ref{def:3-lfc}, in our proof of
    Theorem~\ref{thm:rel-sz} we will make the simplifying assumption
    that $N$ is coprime to
    $(k-1)!$. In the proof of the Green-Tao
    theorem, one can always make this assumption.} if
  \begin{equation}
    \label{eq:Z-lfc}
    \EE_{x_1^{(0)}, x_1^{(1)}, \dots, x_k^{(0)},x_k^{(1)} \in \ZZ_N} \Bigl[
    \prod_{j=1}^k \prod_{\omega \in \{0,1\}^{[k]\setminus\{j\}}} \nu
    \Bigl( \sum_{i=1}^k (j-i) x_i^{(\omega_i)} \Bigr)^{n_{j,\omega}}
    \Bigr]  = 1 + o(1)
  \end{equation}
  for any choice of exponents $n_{j,\omega} \in \{0,1\}$.",1403.2957#1403.2957.tex,definition + \emph{},"[Linear forms condition]
  
  A function ν : _N → [0,∞) satisfies the
  k-linear forms condition[As in the footnote to
    Definition <ref>, in our proof of
    Theorem <ref> we will make the simplifying assumption
    that N is coprime to
    (k-1)!. In the proof of the Green-Tao
    theorem, one can always make this assumption.] if
  
    _x_1^(0), x_1^(1), …, x_k^(0),x_k^(1)∈_N[
        ∏_j=1^k ∏_ω∈{0,1}^[k]∖{j}ν( ∑_i=1^k (j-i) x_i^(ω_i))^n_j,ω]  = 1 + o(1)

  for any choice of exponents n_j,ω∈{0,1}.",k-linear forms condition,['Linear Form']
$k$-regular,"Let $d\in \N$, $k\in \Z_+$. We say that a sequence $a\in\ell^\infty(\N^d)$ is \emph{$k$-regular} if the limit
$$
\limav a(\bn)\, \psi(\bn)
$$
exists for every $k$-step nilsequence $\psi\colon \N^d\to \C$.",1511.05945#1511.05945.tex,definition + \emph{},"Let d∈, k∈_+. We say that a sequence a∈ℓ^∞(^d) is k-regular if the limit

    a() ψ()

exists for every k-step nilsequence ψ^d→.",k-regular,['Regular']
$k$-regular,"A sequence $a_n$ is \emph{$k$-regular} if it can be completely defined by recurrences of the following form:
$$a_{k^m+r} = \sum_{i=1}^L c_i a_{k^{m_i}+r_i},$$
where $m > m_i$, $0\leq r \leq k^m-1$, and $0\leq r_i \leq k^{m_i}-1$, and the $c_i$ can be any constants.",1201.0171#SubDivChapArticle.tex,definition + \emph{},"A sequence a_n is k-regular if it can be completely defined by recurrences of the following form:

    a_k^m+r = ∑_i=1^L c_i a_k^m_i+r_i,

where m > m_i, 0≤ r ≤ k^m-1, and 0≤ r_i ≤ k^m_i-1, and the c_i can be any constants.",k-regular,['Regular']
$k$-regular,"[Allouche and Shallit \protect\cite{Jp}]
\label{def:regular} A sequence $(t(n))_{n\geq 0}$ is called \emph{$k$-regular} if
there exist $m$ subsequences of $n$, say $\{n_l^{(j)}\}_{l\geq0}$ $(0\leq j\leq
m-1)$, which satisfy for any $i\geq0$ and $0\leq b<k^i$, the subsequence $%
(t(k^in+b))_{n\geq 0}$ is a $\mathbb{Z}$-linear combination of $t(n_l^{(j)})$.",1405.6493#1405.6493.tex,definition + \emph{},"[Allouche and Shallit <cit.>]
 A sequence (t(n))_n≥ 0 is called k-regular if
there exist m subsequences of n, say {n_l^(j)}_l≥0 (0≤ j≤
m-1), which satisfy for any i≥0 and 0≤ b<k^i, the subsequence (t(k^in+b))_n≥ 0 is a ℤ-linear combination of t(n_l^(j)).",k-regular,['Regular']
$k$-regular,"A sequence $\left( a_i \right)_{i \in \N}$, $a_i \in \ck$, is called
				\emph{$k$-regular} if the vector subspace of $\ck^\N$ generated over $\ck$ by
				its $k$-kernel is finitely dimensional.",1512.04326#1512.04326.tex,definition + \emph{},"A sequence ( a_i )_i ∈, a_i ∈, is called
				k-regular if the vector subspace of ^ generated over  by
				its k-kernel is finitely dimensional.",k-regular,['Regular']
$k$-regular,"\label{def:k-reg}
Let $k\ge 2$ be an integer. A sequence $s=(s(n))_{n\geq 0}$ is \emph{$k$-regular} if $\left\langle \mathcal{K}_k(s)\right\rangle$ is a finitely-generated $\mathbb{Z}$-module, i.e., there exists a finite number of sequences $(t_1(n))_{n\geq 0}, \ldots, (t_\ell(n))_{n\geq 0}$ such that every sequence in the $\mathbb{Z}$-module generated by the $k$-kernel $\mathcal{K}_k(s)$ is a $\mathbb{Z}$-linear combination of the $t_r$'s. Otherwise stated, for all $i\ge 0$ and for all $j\in\{0,\ldots, k^i - 1\}$, there
exist integers $c_1, \ldots, c_\ell$ such that
$$\forall n \ge 0, \quad s(k^i n + j) = \sum_{r=1}^\ell 
c_r\, t_r (n).
$$",1705.08343#nonzerocoeff.tex,definition + \emph{},"
Let k≥ 2 be an integer. A sequence s=(s(n))_n≥ 0 is k-regular if ⟨𝒦_k(s)⟩ is a finitely-generated ℤ-module, i.e., there exists a finite number of sequences (t_1(n))_n≥ 0, …, (t_ℓ(n))_n≥ 0 such that every sequence in the ℤ-module generated by the k-kernel 𝒦_k(s) is a ℤ-linear combination of the t_r's. Otherwise stated, for all i≥ 0 and for all j∈{0,…, k^i - 1}, there
exist integers c_1, …, c_ℓ such that

    ∀ n ≥ 0,    s(k^i n + j) = ∑_r=1^ℓ 
    c_r  t_r (n).
",k-regular,['Regular']
$k$-ribbon word,"[Assaf \cite{Sami}]
A \emph{$k$-ribbon word} is a pair $(w,c)$ consisting of a word $w$ and a weakly increasing sequence of integers $c$
of the same length such that if $c_i=c_{i+1}$, then there exist integers $h$ and $j$ such that
$(h,i),(i+1,j)\in\Des_k(w,c)$ and $(i,j),(h,i+1)\not\in\Des_k(w,c)$.
In other words, $c_h=c_i-k$ and $w_i<w_h\le w_{i+1}$ while $c_j=c_i+k$ and $w_i\le w_j<w_{i+1}$.",1411.3646#Macdonald3colLamOct14.tex,definition + \emph{},"[Assaf <cit.>]
A k-ribbon word is a pair (w,c) consisting of a word w and a weakly increasing sequence of integers c
of the same length such that if c_i=c_i+1, then there exist integers h and j such that
(h,i),(i+1,j)∈_k(w,c) and (i,j),(h,i+1)∉_k(w,c).
In other words, c_h=c_i-k and w_i<w_h≤ w_i+1 while c_j=c_i+k and w_i≤ w_j<w_i+1.",k-ribbon word,['Word']
$k$-ribbon word,"A \emph{$k$-ribbon word} is a pair $(w,c)$ consisting of a word $w$
  and a non-decreasing sequence of integers $c$ of the same length
  such that if $c_{i} = c_{\ipo}$, then there exist integers $h$ and
  $j$ such that $(h,i), (\ipo,j) \in \mathrm{Des}_{k}(w,c)$ and
  $(i,j),(h,\ipo) \not\in \mathrm{Des}_k(w,c)$. In other words, $c_h =
  c_i-k$ and $w_i < w_h \leq w_{i+1}$ while $c_j = c_i+k$ and $w_i
  \leq w_j < w_{i+1}$.
\label{defn:ktableau}",1005.3759#positivity.tex,definition + \emph{},"A k-ribbon word is a pair (w,c) consisting of a word w
  and a non-decreasing sequence of integers c of the same length
  such that if c_i = c_, then there exist integers h and
  j such that (h,i), (,j) ∈Des_k(w,c) and
  (i,j),(h,) ∉Des_k(w,c). In other words, c_h =
  c_i-k and w_i < w_h ≤ w_i+1 while c_j = c_i+k and w_i
  ≤ w_j < w_i+1.
",k-ribbon word,['Word']
$k$-stable subset,"\label{def:stableset}
Given $A\subseteq G$, $A$ is said to have the \emph{$k$-order property} if the graph $\Gamma(G,A)$ has the $k$-order property. We say that $A$ is \emph{$k$-stable} if the graph $\Gamma(G,A)$ is $k$-stable.",1710.02021#toystablereg.tex,definition[],"
Given A⊆ G, A is said to have the k-order property if the graph Γ(G,A) has the k-order property. We say that A is k-stable if the graph Γ(G,A) is k-stable.",k-stable subset,['Table']
$k$-stable subset,"\label{def:stableset}
Let $A\subseteq G$, and let $k\geq 2$ be an integer. Then $A$ is said to have the \emph{$k$-order property} if there exist sequences $a_1,a_2,\dots,a_k$ and $b_1,b_2,\dots,b_k$ in $G$ such that $a_i+b_j\in A$ if and only if $i\leq j$. A set $A\subseteq G$ is said to be $k$-stable if it does not have the $k$-order property.",1805.06847#1805.06847.tex,definition[],"
Let A⊆ G, and let k≥ 2 be an integer. Then A is said to have the k-order property if there exist sequences a_1,a_2,…,a_k and b_1,b_2,…,b_k in G such that a_i+b_j∈ A if and only if i≤ j. A set A⊆ G is said to be k-stable if it does not have the k-order property.",k-stable subset,['Table']
$k$-sum,"Let $G_1$ and $G_2$ be graphs with disjoint vertex-sets, let $k \geq 0$ be an
  integer, and for $i=1,2$ let $X_i \subseteq V(G_i)$ be a set of pairwise
  adjacent vertices of size $k$. For $i=1,2$ let $G_i'$ be obtained by deleting
  some (possibly none) edges with both ends in $X_i$. Let $f : X_1 \to X_2$ be a
  bijection, and let $G$ be the graph obtained from the union of $G_1'$ and
  $G_2'$ by identifying $x$ with $f(x)$ for all $x \in X_1$. In those
  circumstances we say that $G$ is a \emph{$k$-sum} of $G_1$ and $G_2$.",0803.4418#0803.4418.tex,definition + \emph{},"Let G_1 and G_2 be graphs with disjoint vertex-sets, let k ≥ 0 be an
  integer, and for i=1,2 let X_i ⊆ V(G_i) be a set of pairwise
  adjacent vertices of size k. For i=1,2 let G_i' be obtained by deleting
  some (possibly none) edges with both ends in X_i. Let f : X_1 → X_2 be a
  bijection, and let G be the graph obtained from the union of G_1' and
  G_2' by identifying x with f(x) for all x ∈ X_1. In those
  circumstances we say that G is a k-sum of G_1 and G_2.",k-sum,['Sum']
$k$-sum,"Let $G_1$ and $G_2$ be graphs. A \emph{$k$-sum} of $G_1$ and $G_2$ is any
  graph obtained by identifying the vertices of a $k$-clique in $G_1$ with
  a $k$-clique in $G_2$ and then possibly deleting some edges of the merged
  $k$-clique. (In particular, a $0$-sum is a disjoint union.)",1308.2211#sparse-tuza.tex,definition + \emph{},"Let G_1 and G_2 be graphs. A k-sum of G_1 and G_2 is any
  graph obtained by identifying the vertices of a k-clique in G_1 with
  a k-clique in G_2 and then possibly deleting some edges of the merged
  k-clique. (In particular, a 0-sum is a disjoint union.)",k-sum,['Sum']
$n$-dimensional lattice projection,"[\cite{DPS2015}]
We say that an \emph{$n$-dimensional lattice projection} of a ranked poset $P$ is an order and rank preserving map $\pi : P \rightarrow \mathbb{Z}^n$, where the rank function on $\mathbb{Z}^n$ is the sum of the coordinates and $x \le y$ in $\mathbb{Z}^n$ if and only if the componentwise difference $y-x$ is in $(\mathbb{Z}_{\ge 0})^n$.",1710.07179#MultidimensionalPosetDynamics_submit.tex,definition + \emph{},"[<cit.>]
We say that an n-dimensional lattice projection of a ranked poset P is an order and rank preserving map π : P →ℤ^n, where the rank function on ℤ^n is the sum of the coordinates and x ≤ y in ℤ^n if and only if the componentwise difference y-x is in (ℤ_≥ 0)^n.",n-dimensional lattice projection,"['Projection', 'Dimension']"
$n$-dimensional lattice projection,"[\cite{Resonance}]
We say that an \emph{$n$-dimensional lattice projection} of a ranked poset $P$ is an order and rank preserving map $\pi : P \rightarrow \mathbb{Z}^n$, where the rank function on $\mathbb{Z}^n$ is the sum of the coordinates and $x \le y$ in $\mathbb{Z}^n$ if and only if the componentwise difference $y-x$ is in $(\mathbb{Z}_{\ge 0})^n$.",1705.02665#2xaxb_Homomesy_Result_v5.tex,definition + \emph{},"[<cit.>]
We say that an n-dimensional lattice projection of a ranked poset P is an order and rank preserving map π : P →ℤ^n, where the rank function on ℤ^n is the sum of the coordinates and x ≤ y in ℤ^n if and only if the componentwise difference y-x is in (ℤ_≥ 0)^n.",n-dimensional lattice projection,"['Projection', 'Dimension']"
$s$-adaptable,"(\cite{IRU10}) Let $P$ be a set of $n$ points contained in ${[0,1]}^d$, $d \ge 2$. Let $\chi_{B^{\, p}_{n^{-\frac{1}{s}}}}(x)$ be the characteristic function of the ball of radius $n^{-\frac{1}{s}}$ centered at $p$, and define the measure
\begin{equation} \label{pizdatayamera} d \mu^s_P(x)=n^{-1} \cdot n^{\frac{d}{s}} \cdot \sum_{p \in P} \chi_{B^{\, p}_{n^{-\frac{1}{s}}}}(x)\, dx. \end{equation} 
We say that $P$ is \emph{$s$-adaptable}  if 

$$ I_s(\mu^s_P)=\int \int {|x-y|}^{-s} d\mu^s_P(x) d\mu^s_P(y)<\infty.$$",1204.4429#1204.4429.tex,definition + \emph{},"(<cit.>) Let P be a set of n points contained in [0,1]^d, d ≥ 2. Let χ_B^  p_n^-1/s(x) be the characteristic function of the ball of radius n^-1/s centered at p, and define the measure

    d μ^s_P(x)=n^-1· n^d/s·∑_p ∈ Pχ_B^  p_n^-1/s(x)  dx.
 
We say that P is s-adaptable  if 


    I_s(μ^s_P)=∫∫|x-y|^-s dμ^s_P(x) dμ^s_P(y)<∞.
",s-adaptable,['Table']
$s$-adaptable,"Let $P$ be a set of $n$ points contained in ${[0,1]}^2$. Define the measure
\begin{equation} \label{pizdatayamera} d \mu^s_P(x)=n^{-1} \cdot n^{\frac{d}{s}} \cdot \sum_{p \in P} \chi_{B^{\, p}_{n^{-\frac{1}{s}}}}(x)\, dx, \end{equation} where $\chi_{B^{\, p}_{n^{-\frac{1}{s}}}}(x)$ is the characteristic function of the ball of radius $n^{-\frac{1}{s}}$ centered at $p$. We say that $P$ is \emph{$s$-adaptable} if 

$$ I_s(\mu_P)=\int \int {|x-y|}^{-s} d\mu^s_P(x) d\mu^s_P(y)<\infty.$$",1009.2471#1009.2471.tex,definition + \emph{},"Let P be a set of n points contained in [0,1]^2. Define the measure

    d μ^s_P(x)=n^-1· n^d/s·∑_p ∈ Pχ_B^  p_n^-1/s(x)  dx,
 where χ_B^  p_n^-1/s(x) is the characteristic function of the ball of radius n^-1/s centered at p. We say that P is s-adaptable if 


    I_s(μ_P)=∫∫|x-y|^-s dμ^s_P(x) dμ^s_P(y)<∞.
",s-adaptable,['Table']
$s$-regular;completely regular,"\label{regcodedefinition}
 Let $C$ be a code in $H(m,q)$ with covering radius $\rho$, and $s$ be an integer with $0\leq s\leq \rho$. Then,
 \begin{enumerate}
  \item $C$ is \emph{$s$-regular} if, for each $i\in\{0,1,\ldots,s\}$, each $k\in\{0,1,\ldots,m\}$, and every vertex $\nu\in C_i$, the number $|\varGamma_k(\nu)\cap C|$ depends only on $i$ and $k$, and,
  \item $C$ is \emph{completely regular} if $C$ is $\rho$-regular.
 \end{enumerate}",1806.10514#1806.10514.tex,definition + \emph{},"
 Let C be a code in H(m,q) with covering radius ρ, and s be an integer with 0≤ s≤ρ. Then,
 
  
  * C is s-regular if, for each i∈{0,1,…,s}, each k∈{0,1,…,m}, and every vertex ν∈ C_i, the number |_k(ν)∩ C| depends only on i and k, and,
  
  * C is completely regular if C is ρ-regular.
 ",s-regular;completely regular,"['Complete', 'Regular']"
$s$-regular;completely regular,"\label{regcode}
 Let $C$ be a code with covering radius $\rho$ and $s$ be an integer with $0\leq s\leq \rho$. Then $C$ is \emph{$s$-regular} if for each $i$, $0\leq i \leq s$, each vertex $\nu\in C_i$, and each $k$, $0\leq k \leq m$, the number $|\varGamma_k(\nu)\cap C|$ depends only on $i$ and $k$. If $s=\rho$ then we say $C$ is \emph{completely regular} .",1412.7290#1412.7290.tex,definition + \emph{},"
 Let C be a code with covering radius ρ and s be an integer with 0≤ s≤ρ. Then C is s-regular if for each i, 0≤ i ≤ s, each vertex ν∈ C_i, and each k, 0≤ k ≤ m, the number |_k(ν)∩ C| depends only on i and k. If s=ρ then we say C is completely regular .",s-regular;completely regular,"['Complete', 'Regular']"
(jointly) exchangeable,"For a fixed target set $\Omega$, an array (indexed by $(\mathbb{N}_+)_{<\omega}$) is a
  function $X\function{(\mathbb{N}_+)_{<\omega}}{\Omega}$.

  Let $S_{\mathbb{N}_+}$ denote the symmetric group over $\mathbb{N}_+$ and define the (right) action of $S_{\mathbb{N}_+}$ on the set of arrays indexed by $(\mathbb{N}_+)_{<\omega}$ by letting
  \begin{align*}
    (X\cdot\sigma)_\alpha \df X_{\sigma\circ\alpha}\quad (\alpha\in (\mathbb N_+)_{<\omega}),
  \end{align*}
  for every permutation $\sigma\in S_{\mathbb{N}_+}$ and every array $X$.

  A random array $\rn{X}$ indexed by $(\mathbb{N}_+)_{<\omega}$ is \emph{(jointly) exchangeable} if for every $\sigma\in S_{\mathbb{N}_+}$ we
  have $\rn{X}\sim\rn{X}\cdot\sigma$.",1910.08797#ms.tex,definition + \emph{},"For a fixed target set Ω, an array (indexed by (ℕ_+)_<ω) is a
  function X(ℕ_+)_<ωΩ.

  Let S_ℕ_+ denote the symmetric group over ℕ_+ and define the (right) action of S_ℕ_+ on the set of arrays indexed by (ℕ_+)_<ω by letting
  
    (X·σ)_α X_σ∘α   (α∈ (ℕ_+)_<ω),

  for every permutation σ∈ S_ℕ_+ and every array X.

  A random array X indexed by (ℕ_+)_<ω is (jointly) exchangeable if for every σ∈ S_ℕ_+ we
  have X∼X·σ.",(jointly) exchangeable,['Join']
